date,leave_eu,percentage
02/08/16,yes,46
09/08/16,yes,45
17/08/16,yes,46
23/08/16,yes,45
31/08/16,yes,47
14/09/16,yes,46
12/10/16,yes,45
20/10/16,yes,45
15/11/16,yes,46
29/11/16,yes,44
05/12/16,yes,44
19/12/16,yes,44
04/01/17,yes,47
10/01/17,yes,46
18/01/17,yes,46
31/01/17,yes,45
13/02/17,yes,46
22/02/17,yes,45
28/02/17,yes,45
14/03/17,yes,44
15/03/17,yes,46
21/03/17,yes,44
27/03/17,yes,44
06/04/17,yes,46
13/04/17,yes,45
19/04/17,yes,46
21/04/17,yes,44
26/04/17,yes,43
03/05/17,yes,46
10/05/17,yes,44
14/05/17,yes,45
17/05/17,yes,46
25/05/17,yes,46
31/05/17,yes,44
07/06/17,yes,45
13/06/17,yes,44
22/06/17,yes,44
11/07/17,yes,45
19/07/17,yes,43
01/08/17,yes,45
22/08/17,yes,43
31/08/17,yes,44
24/09/17,yes,44
11/10/17,yes,42
19/10/17,yes,42
20/10/17,yes,42
24/10/17,yes,43
08/11/17,yes,42
05/12/17,yes,42
11/12/17,yes,44
20/12/17,yes,42
08/01/18,yes,42
17/01/18,yes,45
29/01/18,yes,40
06/02/18,yes,43
13/02/18,yes,42
20/02/18,yes,42
27/02/18,yes,44
06/03/18,yes,43
23/03/18,yes,44
27/03/18,yes,42
10/04/18,yes,42
17/04/18,yes,42
25/04/18,yes,42
01/05/18,yes,42
09/05/18,yes,43
14/05/18,yes,44
21/05/18,yes,43
29/05/18,yes,40
05/06/18,yes,44
12/06/18,yes,43
19/06/18,yes,43
20/06/18,yes,44
26/06/18,yes,43
04/07/18,yes,41
09/07/18,yes,42
11/07/18,yes,41
17/07/18,yes,42
23/07/18,yes,42
09/08/18,yes,42
13/08/18,yes,43
14/08/18,yes,43
21/08/18,yes,41
29/08/18,yes,42
04/09/18,yes,42
02/08/16,no,42
09/08/16,no,44
17/08/16,no,43
23/08/16,no,43
31/08/16,no,44
14/09/16,no,43
12/10/16,no,44
20/10/16,no,44
15/11/16,no,43
29/11/16,no,45
05/12/16,no,42
19/12/16,no,44
04/01/17,no,43
10/01/17,no,42
18/01/17,no,42
31/01/17,no,42
13/02/17,no,42
22/02/17,no,45
28/02/17,no,44
14/03/17,no,42
15/03/17,no,41
21/03/17,no,44
27/03/17,no,43
06/04/17,no,42
13/04/17,no,43
19/04/17,no,43
21/04/17,no,44
26/04/17,no,45
03/05/17,no,43
10/05/17,no,45
14/05/17,no,41
17/05/17,no,43
25/05/17,no,43
31/05/17,no,45
07/06/17,no,45
13/06/17,no,45
22/06/17,no,45
11/07/17,no,43
19/07/17,no,43
01/08/17,no,45
22/08/17,no,45
31/08/17,no,44
24/09/17,no,45
11/10/17,no,47
19/10/17,no,45
20/10/17,no,44
24/10/17,no,45
08/11/17,no,46
05/12/17,no,45
11/12/17,no,45
20/12/17,no,45
08/01/18,no,46
17/01/18,no,44
29/01/18,no,46
06/02/18,no,44
13/02/18,no,46
20/02/18,no,45
27/02/18,no,45
06/03/18,no,45
23/03/18,no,48
27/03/18,no,45
10/04/18,no,46
17/04/18,no,45
25/04/18,no,45
01/05/18,no,47
09/05/18,no,45
14/05/18,no,45
21/05/18,no,44
29/05/18,no,47
05/06/18,no,44
12/06/18,no,46
19/06/18,no,44
20/06/18,no,45
26/06/18,no,46
04/07/18,no,46
09/07/18,no,46
11/07/18,no,46
17/07/18,no,47
23/07/18,no,46
09/08/18,no,45
13/08/18,no,47
14/08/18,no,45
21/08/18,no,47
29/08/18,no,47
04/09/18,no,48
