beginning,ending,Type
1980-01-01,2014-12-31,Discharge
1984-01-05,1984-02-15,Snowmelt
1984-02-28,1984-03-19,Snowmelt
1984-03-22,1984-06-15,Snowmelt
1984-06-17,1984-09-30,Snowmelt
1984-10-03,1984-10-10,Snowmelt
1984-10-13,1984-11-02,Snowmelt
1984-11-06,1984-11-21,Snowmelt
1984-11-24,1984-11-29,Snowmelt
1985-01-03,1985-01-31,Snowmelt
1985-02-03,1985-02-28,Snowmelt
1985-03-02,1985-03-10,Snowmelt
1985-03-15,1985-03-27,Snowmelt
1985-06-02,1985-07-07,Snowmelt
1985-07-10,1985-08-16,Snowmelt
1985-08-21,1985-10-01,Snowmelt
1985-10-04,1985-10-09,Snowmelt
1985-10-12,1985-10-24,Snowmelt
1985-10-29,1985-10-29,Snowmelt
1985-11-01,1986-05-29,Snowmelt
1986-05-31,1986-07-31,Snowmelt
1986-09-13,1986-09-24,Snowmelt
1986-09-27,1987-01-14,Snowmelt
1987-01-16,1987-03-10,Snowmelt
1987-03-13,1987-03-13,Snowmelt
1987-03-15,1987-03-16,Snowmelt
1987-03-19,1987-03-23,Snowmelt
1987-03-26,1987-06-30,Snowmelt
1987-07-09,1987-09-25,Snowmelt
1987-09-29,1988-05-03,Snowmelt
1988-05-14,1988-05-16,Snowmelt
1988-05-18,1988-07-17,Snowmelt
1988-08-03,1988-08-03,Snowmelt
1988-09-05,1988-09-18,Snowmelt
1988-09-22,1988-09-23,Snowmelt
1988-09-25,1988-09-26,Snowmelt
1988-10-01,1988-10-13,Snowmelt
1988-10-17,1988-10-20,Snowmelt
1988-10-23,1989-02-02,Snowmelt
1989-02-06,1989-05-31,Snowmelt
1989-06-09,1989-06-11,Snowmelt
1989-06-14,1989-06-15,Snowmelt
1989-06-23,1989-06-23,Snowmelt
1989-07-28,1989-07-31,Snowmelt
1989-09-11,1989-09-13,Snowmelt
1989-09-16,1989-12-07,Snowmelt
1989-12-09,1990-07-09,Snowmelt
1990-10-04,1991-08-20,Snowmelt
1991-08-23,1991-09-03,Snowmelt
1991-09-06,1992-12-30,Snowmelt
1993-01-02,1995-09-25,Snowmelt
1995-09-28,1996-03-18,Snowmelt
1996-03-21,1996-03-31,Snowmelt
1996-04-03,1997-10-02,Snowmelt
1997-10-05,1998-06-30,Snowmelt
1998-07-07,1998-07-20,Snowmelt
1998-07-23,1999-04-14,Snowmelt
1999-04-17,2000-07-14,Snowmelt
2000-10-25,2001-07-02,Snowmelt
2001-07-05,2001-07-09,Snowmelt
2001-07-14,2001-07-14,Snowmelt
2001-09-22,2001-09-30,Snowmelt
2001-10-06,2002-07-19,Snowmelt
2002-07-23,2002-07-26,Snowmelt
2002-08-08,2002-08-14,Snowmelt
2002-08-17,2002-08-31,Snowmelt
2002-09-22,2004-07-11,Snowmelt
2004-10-10,2006-09-09,Snowmelt
2006-09-13,2006-10-06,Snowmelt
2006-10-10,2008-09-07,Snowmelt
2008-09-16,2008-10-02,Snowmelt
2008-10-09,2009-07-04,Snowmelt
2009-07-22,2009-07-26,Snowmelt
2009-07-29,2010-07-13,Snowmelt
2010-08-30,2010-09-15,Snowmelt
2010-09-18,2010-09-28,Snowmelt
2010-10-09,2010-10-10,Snowmelt
2010-10-17,2012-07-22,Snowmelt
2012-09-10,2012-09-11,Snowmelt
2012-09-16,2012-09-16,Snowmelt
2012-09-19,2012-09-26,Snowmelt
2012-09-29,2012-09-30,Snowmelt
2012-10-04,2013-04-19,Snowmelt
2013-04-22,2013-09-06,Snowmelt
2013-09-11,2014-09-03,Snowmelt
2014-09-07,2014-09-08,Snowmelt
2014-09-11,2014-09-15,Snowmelt
2014-10-17,2014-10-18,Snowmelt
2014-10-24,2014-12-11,Snowmelt
